tau,var
5,3.1753246153970225
10,6.253737530247967
15,9.229281013440492
20,11.768265369194879
25,13.97622657063849
30,16.018066126804506
35,17.91201196942147
40,19.812439682993688
45,21.607519000780115
50,23.588989193954717
55,25.39351704930098
60,27.441522927359156
65,29.334740228375182
70,31.3204756432436
75,33.29687797302587
80,35.19220423462392
85,36.978469615936184
90,38.70317365096981
95,40.253987987622104
100,41.793052024055314
105,43.43289304318899
110,45.15229271031417
115,46.78874211233009
120,48.62321447916342
125,50.18962434734123
130,51.671700981680175
135,53.16570925948539
140,54.60249191179679
145,56.075212818122345
150,57.67282503601975
155,59.17494092526487
160,60.71632917874494
165,61.96619894950207
170,63.275263381290344
175,64.76489286076585
180,66.24365257504634
185,67.91916713369034
190,69.67040193038166
195,71.48281840477173
200,73.36232321737468
205,75.31822040359063
210,77.03962710852888
215,78.80851730973424
220,80.61448443434655
225,82.34121963350303
230,83.81864344866582
235,85.4014413288344
240,87.07091727331557
245,88.97423453162291
